"gene_symbol","sample","expression","age_num","age"
"Ak8","Thalamus_8_Male_26",19.0937166317853,26,"26M"
"Ak8","Thalamus_57_Male_28",22.0991372546317,28,"28M"
"Ak8","Thalamus_58_Male_28",56.7631114359374,28,"28M"
"Ak8","Thalamus_59_Male_28",12.9530138385332,28,"28M"
"Uck1","Thalamus_17_Male_3",238.463420078943,3,"3M"
"Uck1","Thalamus_21_Male_3",239.188085797211,3,"3M"
"Uck1","Thalamus_25_Male_3",274.513753746122,3,"3M"
"Uck1","Thalamus_29_Male_3",232.560108466375,3,"3M"
"Uck1","Thalamus_33_Male_3",253.600288155195,3,"3M"
"Uck1","Thalamus_37_Female_3",233.250063586868,3,"3M"
"Uck1","Thalamus_41_Female_3",248.320887747679,3,"3M"
"Uck1","Thalamus_45_Female_3",227.260345656078,3,"3M"
"Uck1","Thalamus_49_Female_3",249.223237634671,3,"3M"
"Uck1","Thalamus_53_Female_3",265.847100972914,3,"3M"
"Uck1","Thalamus_1_Female_12",184.090305451772,12,"12M"
"Uck1","Thalamus_10_Female_12",218.74960619664,12,"12M"
"Uck1","Thalamus_12_Male_12",214.320265461457,12,"12M"
"Uck1","Thalamus_13_Female_12",185.719753645087,12,"12M"
"Uck1","Thalamus_15_Male_12",234.092437201874,12,"12M"
"Uck1","Thalamus_3_Male_12",191.82690276189,12,"12M"
"Uck1","Thalamus_4_Female_12",186.183553241938,12,"12M"
"Uck1","Thalamus_6_Male_12",226.078524873759,12,"12M"
"Uck1","Thalamus_7_Female_12",185.49141409275,12,"12M"
"Uck1","Thalamus_9_Male_12",213.301905827513,12,"12M"
"Uck1","Thalamus_18_Male_15",225.880778533412,15,"15M"
"Uck1","Thalamus_22_Male_15",231.278583998126,15,"15M"
"Uck1","Thalamus_26_Male_15",260.602250335631,15,"15M"
"Uck1","Thalamus_30_Male_15",203.541310714595,15,"15M"
"Uck1","Thalamus_34_Male_15",210.648424307195,15,"15M"
"Uck1","Thalamus_38_Female_15",262.125022681002,15,"15M"
"Uck1","Thalamus_42_Female_15",247.259004274259,15,"15M"
"Uck1","Thalamus_46_Female_15",251.950550555747,15,"15M"
"Uck1","Thalamus_50_Female_15",249.400817864769,15,"15M"
"Uck1","Thalamus_54_Female_15",217.110357602645,15,"15M"
"Uck1","Thalamus_19_Male_18",208.775866348171,18,"18M"
"Uck1","Thalamus_23_Male_18",240.702656905025,18,"18M"
"Uck1","Thalamus_27_Male_18",226.959343556461,18,"18M"
"Uck1","Thalamus_31_Male_18",269.823906177723,18,"18M"
"Uck1","Thalamus_35_Male_18",255.710058576386,18,"18M"
"Uck1","Thalamus_39_Female_18",317.309064090225,18,"18M"
"Uck1","Thalamus_43_Female_18",228.036451515315,18,"18M"
"Uck1","Thalamus_47_Female_18",235.771462462935,18,"18M"
"Uck1","Thalamus_51_Female_18",260.134122381907,18,"18M"
"Uck1","Thalamus_55_Female_18",260.416648405451,18,"18M"
"Uck1","Thalamus_16_Male_21",256.199326719897,21,"21M"
"Uck1","Thalamus_20_Male_21",285.026635843578,21,"21M"
"Uck1","Thalamus_24_Male_21",254.097077878264,21,"21M"
"Uck1","Thalamus_28_Male_21",222.08524804706,21,"21M"
"Uck1","Thalamus_32_Male_21",247.405551218095,21,"21M"
"Uck1","Thalamus_36_Male_21",246.847733872396,21,"21M"
"Uck1","Thalamus_40_Female_21",282.449747729523,21,"21M"
"Uck1","Thalamus_44_Female_21",230.443348776555,21,"21M"
"Uck1","Thalamus_48_Female_21",234.316163026661,21,"21M"
"Uck1","Thalamus_52_Female_21",246.088796602725,21,"21M"
"Uck1","Thalamus_56_Female_21",222.012217346262,21,"21M"
"Uck1","Thalamus_11_Male_26",214.329364019353,26,"26M"
"Uck1","Thalamus_14_Male_26",225.945585493176,26,"26M"
"Uck1","Thalamus_2_Male_26",226.852632860097,26,"26M"
"Uck1","Thalamus_5_Male_26",211.108660693432,26,"26M"
"Uck1","Thalamus_8_Male_26",249.582153115479,26,"26M"
"Uck1","Thalamus_57_Male_28",259.460241100676,28,"28M"
"Uck1","Thalamus_58_Male_28",252.936424558537,28,"28M"
"Uck1","Thalamus_59_Male_28",208.867348146348,28,"28M"
"Ak1","Thalamus_17_Male_3",441.157327146044,3,"3M"
"Ak1","Thalamus_21_Male_3",660.708073062786,3,"3M"
"Ak1","Thalamus_25_Male_3",541.70714072568,3,"3M"
"Ak1","Thalamus_29_Male_3",618.37821944699,3,"3M"
"Ak1","Thalamus_33_Male_3",666.964713186471,3,"3M"
"Ak1","Thalamus_37_Female_3",605.413498376581,3,"3M"
"Ak1","Thalamus_41_Female_3",541.138581970375,3,"3M"
"Ak1","Thalamus_45_Female_3",607.866264351936,3,"3M"
"Ak1","Thalamus_49_Female_3",609.048503805438,3,"3M"
"Ak1","Thalamus_53_Female_3",588.15730303742,3,"3M"
"Ak1","Thalamus_1_Female_12",598.293492718258,12,"12M"
"Ak1","Thalamus_10_Female_12",631.639487892799,12,"12M"
"Ak1","Thalamus_12_Male_12",665.330925102571,12,"12M"
"Ak1","Thalamus_13_Female_12",580.796320490089,12,"12M"
"Ak1","Thalamus_15_Male_12",564.085338499171,12,"12M"
"Ak1","Thalamus_3_Male_12",611.612487915477,12,"12M"
"Ak1","Thalamus_4_Female_12",697.833012532759,12,"12M"
"Ak1","Thalamus_6_Male_12",543.062750308644,12,"12M"
"Ak1","Thalamus_7_Female_12",589.905834353106,12,"12M"
"Ak1","Thalamus_9_Male_12",628.845618661852,12,"12M"
