"Sample","age"
"Hypothalamus_44_Female_21",21
"Hypothalamus_48_Female_21",21
"Hypothalamus_52_Female_21",21
"Hypothalamus_56_Female_21",21
"Medulla_16_Male_21",21
"Medulla_20_Male_21",21
"Medulla_24_Male_21",21
"Medulla_28_Male_21",21
"Medulla_32_Male_21",21
"Medulla_36_Male_21",21
"Medulla_40_Female_21",21
"Medulla_44_Female_21",21
"Medulla_48_Female_21",21
"Medulla_52_Female_21",21
"Medulla_56_Female_21",21
"Olfactory bulb_16_Male_21",21
"Olfactory bulb_20_Male_21",21
"Olfactory bulb_24_Male_21",21
"Olfactory bulb_28_Male_21",21
"Olfactory bulb_36_Male_21",21
"Olfactory bulb_40_Female_21",21
"Olfactory bulb_44_Female_21",21
"Olfactory bulb_48_Female_21",21
"Olfactory bulb_52_Female_21",21
"Olfactory bulb_56_Female_21",21
"Choroid Plexus_16_Male_21",21
"Choroid Plexus_20_Male_21",21
"Choroid Plexus_24_Male_21",21
"Choroid Plexus_28_Male_21",21
"Choroid Plexus_32_Male_21",21
"Choroid Plexus_36_Male_21",21
"Choroid Plexus_40_Female_21",21
"Choroid Plexus_44_Female_21",21
"Choroid Plexus_48_Female_21",21
"Choroid Plexus_52_Female_21",21
"Choroid Plexus_56_Female_21",21
"Pons_16_Male_21",21
"Pons_20_Male_21",21
"Pons_24_Male_21",21
"Pons_28_Male_21",21
"Pons_32_Male_21",21
"Pons_36_Male_21",21
"Pons_40_Female_21",21
"Pons_44_Female_21",21
"Pons_48_Female_21",21
"Pons_52_Female_21",21
"Pons_56_Female_21",21
"Subventricular zone_16_Male_21",21
"Subventricular zone_20_Male_21",21
"Subventricular zone_24_Male_21",21
"Subventricular zone_28_Male_21",21
"Subventricular zone_32_Male_21",21
"Subventricular zone_36_Male_21",21
"Subventricular zone_40_Female_21",21
"Subventricular zone_44_Female_21",21
"Subventricular zone_52_Female_21",21
"Subventricular zone_56_Female_21",21
"Thalamus_16_Male_21",21
"Thalamus_20_Male_21",21
"Thalamus_24_Male_21",21
"Thalamus_28_Male_21",21
"Thalamus_32_Male_21",21
"Thalamus_36_Male_21",21
"Thalamus_40_Female_21",21
"Thalamus_44_Female_21",21
"Thalamus_48_Female_21",21
"Thalamus_52_Female_21",21
"Thalamus_56_Female_21",21
"Visual Cortex_16_Male_21",21
"Visual Cortex_20_Male_21",21
"Visual Cortex_24_Male_21",21
"Visual Cortex_28_Male_21",21
"Visual Cortex_32_Male_21",21
"Visual Cortex_36_Male_21",21
"Visual Cortex_40_Female_21",21
"Visual Cortex_44_Female_21",21
"Visual Cortex_48_Female_21",21
"Visual Cortex_52_Female_21",21
"Visual Cortex_56_Female_21",21
"Corpus callosum_11_Male_26",26
"Corpus callosum_14_Male_26",26
"Corpus callosum_5_Male_26",26
"Corpus callosum_8_Male_26",26
"Cerebellum_11_Male_26",26
"Cerebellum_14_Male_26",26
"Cerebellum_2_Male_26",26
"Cerebellum_5_Male_26",26
"Cerebellum_8_Male_26",26
