"","age","region","bio","AMPdGMP","AdG","C","G","GMP","I","UMPpseudoUMP","UpseudoU","ca5dC","dA","dAMP","dCTP","dITP","f5dC","f5dCTP","m6Am","m6dA","mA","mChm5dC","mG","mU"
"60","21M","cortex","3",46.6335583063956,28.9156799402676,0.560265366888248,0.0463654766096462,4.0780239192939,91.8683604507936,0.202077522847439,4.2518212260299,0,0.714649048635988,0.11754051069284,0.0326193636650867,0,0.0808725856291544,0,0.299260733158988,0.357166945883247,0.71940930308589,506.422724011712,0.063336113760462,0.206888549605941
"61","21M","fornix","1",33.6832774589446,11.8728926332827,0,0,4.29758477734127,131.737678727355,0,2.06755919144354,0,1.46770060053702,0.723941839082738,0,0,0.652920870281201,0,0,0,0.905249146144064,524.621994505982,0,1.55173307061244
"62","21M","fornix","2",46.5932580428372,0.808480394091214,0,0,1.47431864429396,116.13491451648,0,0.780443976212637,0,0,0.545324832067398,0,0,0,0,0,0,0,503.592478557194,0,0
"63","21M","fornix","3",31.8444476807641,3.8844441992464,0.667916550898654,0,0.52048663217241,100.822997169376,0,0,0,0,0,0,0,0,0,0,0,0,405.434288098466,0,0
"64","21M","hippocampus","1",46.5700580972604,34.6281790573556,0.420375386197907,0,5.04381590669688,109.763177869319,0.840082295695901,4.79697861384645,0,1.18403205258548,0.250474435468769,0,0,0,0,0,0.262970692940072,1.49328492228714,502.495058272916,0.291739549426206,0.272711575039632
"65","21M","hippocampus","2",43.9456218025217,40.2234369920817,0.705676699219665,0.735274458472729,3.63883110467812,75.3155203094729,0,3.52507895909568,0,0.183429096053122,0.189723055842962,0,0,0.38082646519853,0,0,0.207889490141869,1.33159354611764,437.58003418393,0,0
"66","21M","hippocampus","3",50.4185433861354,27.8148884289096,0.367549605912487,0,4.2374324186064,109.197754373181,0.264154568558406,2.58742417505458,0,1.10680485773014,0,0,0,0.393082824303372,0,0,0.345179931823746,1.97373677517431,482.019219614704,0.15552467847668,0.40502695201581
"67","21M","Hypothalamus","1",50.3723399707499,0.654759394019116,2.79530150797619,0.144807421176154,3.23607543371409,255.65293451203,0.335215268086689,3.07852291365644,0,0.15954081770822,0.465613649580351,0,0,0.231634610811895,0,0,0.640052980904181,2.43363179403239,863.287092484966,0,0.908948079733571
"68","21M","Hypothalamus","2",63.1714412565706,1.0050484644677,1.94177885805537,0,2.7427994138839,257.962931245417,0.797785108232396,5.17371924231322,0,0.76222467313212,0.855860461697664,0,0,0,0,1.29768636006641,1.56004462669785,1.72616018866029,1002.78935562728,0,0.455053175808489
"69","21M","Hypothalamus","3",41.7005328239559,0.408904665459415,0.316511148388517,0,4.42011210534115,231.03360032146,0.192100777800276,2.77076723648915,0,0.541975045466402,0.733351024390377,0,0,0.751708076889065,0,0,0.585587327345028,1.06232547116527,750.138278199775,0,0.471927624043208
"70","21M","midbrain","1",50.0056067258297,0.158283730005801,2.75587499994899,0.354023265459242,4.8833060781367,296.955918207189,0.151011778680278,8.68788143460314,0,1.42396656231503,0.354969067364007,0,0,0,0,0.214573730238231,0.294680804532947,2.49839679148649,963.863823783333,0,0.133679229254936
"71","21M","midbrain","2",42.2109439102543,0,0.963784315499684,0,3.92815843028601,254.984929593292,0,7.2708751552837,0,0.63672364781123,0.791677949975299,0,0,0.120702518148163,0,0.682561541516383,0.153823436611322,2.28413685671812,783.84977697505,0,0.685489123479614
"72","21M","midbrain","3",29.2689638318851,0.126736253675276,0,0.260933318420571,3.53368324303739,251.709683946578,0,3.46932711907421,0,0.305056131271896,0,0,0,0,0,0,0.500211111121443,0.719617584711624,609.360206709707,0,0
"73","21M","olfactory bulbs","1",32.449900089496,38.7231491217826,0.132774173026805,0.0871967561513417,6.34922593232829,112.763545776878,0.246448321544292,5.19320407949204,0,0.473166234392552,0,0,0,0.189592851953271,0,0.345329342988475,0.324233974174285,2.28074908792202,439.798591611101,0.0701381792502985,0
"74","21M","olfactory bulbs","2",51.1456035702917,45.2126195421482,0.508130892041717,1.97780665270242,7.95166838896704,163.680937241132,0.793094796128463,5.93180623099844,0,1.56038430088434,0.534058925617513,0,0,0.264042285098187,0,0.642641325295947,0.802207573300803,3.58160679972323,556.296006989867,0.22968092639844,0.130920251975459
"75","21M","olfactory bulbs","3",32.8720981520074,42.9313920089902,0.266515828696107,0.377129841104635,9.42448014830397,103.402455467702,0.438552648401145,4.63205201294943,0,0.616990456588587,0.0354359874812281,0.0332668225682492,0,0.14418758620735,0,0.10743279726799,0.403906365072426,0.855861455743214,383.738156535146,0.0325362721314653,0.0415546315004157
"76","21M","pons&medulla","1",21.6347101343667,2.20035868437885,0.228769807826642,1.09196744517218,0.941158992838855,290.334513396899,0,5.4153878408887,0,0,0.0879715927753179,0,0,0.0989411783517071,0,0.328713042334054,0.170401272198223,0.362964796870602,354.628312778728,0,0.077634887711246
"77","21M","pons&medulla","2",53.3145638828778,0.347185778741614,0.228902771008931,0.750464720188047,2.54743112815107,279.522646625475,0,6.00100859170629,0,0.680506058348892,0.404483140104738,0.135428361997142,0,0.144491631247992,0,0.687155981151588,0.967489491176772,0.998792952862771,495.933990485129,0.527519496160513,0.173217010259987
"78","21M","pons&medulla","3",30.0750666606356,0.317754679117068,0.28390631655277,0,1.096722007807,194.331828001899,0,3.30191420710889,0.296320645963532,0,0.150281228243494,0,0,0,0,0.151439878489803,0,0.263056518884243,412.564616591034,0,0.168327143779912
"79","21M","Thalamus","1",37.1061021540857,3.41932483482226,0,0,2.22629493541244,182.443093455439,0,2.63943067543348,0,0.24608134869043,0.399177608697901,0,0,0.194878903707828,0,0.0995299443287204,0.331916956150715,2.35177768202091,426.666523686189,0,0
"80","21M","Thalamus","2",51.4023713674922,5.19895704669036,0.782079632104659,0,3.1719555246544,177.834153684977,0.185956155153295,4.22861587263885,0,1.1779615857723,0.121468943829611,0.168743418746015,0,0.11776658424996,0,0.233994885099543,0.269527108467186,2.06299817024246,442.761199933366,0,0.181682938114455
